p	80x60
0.000000	0.000000	11
0.025000	0.011290	31
0.050000	0.012946	28
0.075000	0.015625	16
0.100000	0.017969	32
0.125000	0.021154	26
0.150000	0.031250	28
0.175000	0.032292	48
0.200000	0.039286	21
0.225000	0.047606	47
0.250000	0.050000	41
0.275000	0.057849	43
0.300000	0.075000	71
0.325000	0.081633	98
0.350000	0.098393	70
0.375000	0.109247	73
0.400000	0.126685	89
0.425000	0.159806	116
0.450000	0.189652	151
0.475000	0.262893	191
0.500000	0.320256	195
0.525000	0.445259	377
0.550000	0.702946	488
0.575000	1.081406	562
0.600000	1.520744	511
0.625000	1.583323	428
0.650000	1.422546	326
0.675000	1.266372	184
0.700000	1.179076	138
0.725000	1.105781	80
0.750000	1.062019	52
0.775000	1.030932	59
0.800000	1.018116	69
0.825000	1.008438	40
0.850000	1.003572	21
0.875000	1.002500	20
0.900000	1.000658	19
0.925000	0.999219	16
0.950000	1.000521	24
0.975000	1.000000	12
1.000000	1.000000	12
