p	160x120
0.000000	0.000000	11
0.025000	0.006250	16
0.050000	0.007895	19
0.075000	0.011029	17
0.100000	0.012069	29
0.125000	0.015885	24
0.150000	0.017992	33
0.175000	0.023529	17
0.200000	0.026442	26
0.225000	0.030966	22
0.250000	0.032000	25
0.275000	0.038426	27
0.300000	0.034896	24
0.325000	0.051116	56
0.350000	0.053309	34
0.375000	0.073585	53
0.400000	0.087072	73
0.425000	0.097338	54
0.450000	0.132929	67
0.475000	0.164328	106
0.500000	0.213674	165
0.525000	0.294382	188
0.550000	0.510754	340
0.575000	0.958594	544
0.600000	1.729155	567
0.625000	1.609220	324
0.650000	1.317923	121
0.675000	1.197222	117
0.700000	1.104209	49
0.725000	1.063694	89
0.750000	1.040114	55
0.775000	1.019420	28
0.800000	1.007337	23
0.825000	1.002404	26
0.850000	1.002841	22
0.875000	1.000893	21
0.900000	1.000347	18
0.925000	1.000000	18
0.950000	1.000521	12
0.975000	0.999107	14
1.000000	1.000000	12
