t	x	y	r	vx	vy	v
0.00	0.00	6779000.00	6779000.00	9687.34	0.00	9687.34
0.25	2421.83	6778999.50	6778999.93	9687.34	-2.17	9687.34
0.50	4843.67	6778998.50	6779000.23	9687.33	-4.34	9687.34
0.75	7265.50	6778997.00	6779000.89	9687.33	-6.51	9687.34
1.00	9687.33	6778995.00	6779001.92	9687.33	-8.67	9687.33
1.25	12109.17	6778992.50	6779003.32	9687.33	-10.84	9687.33
1.50	14531.00	6778989.00	6779004.57	9687.32	-13.01	9687.33
1.75	16952.83	6778985.00	6779006.20	9687.32	-15.18	9687.33
2.00	19374.65	6778980.50	6779008.19	9687.31	-17.35	9687.33
2.25	21796.48	6778975.50	6779010.54	9687.31	-19.52	9687.33
2.50	24218.30	6778970.00	6779013.26	9687.30	-21.68	9687.33
2.75	26640.13	6778964.00	6779016.35	9687.29	-23.85	9687.32
3.00	29061.95	6778957.50	6779019.80	9687.28	-26.02	9687.32
3.25	31483.77	6778950.50	6779023.61	9687.27	-28.19	9687.32
3.50	33905.58	6778943.00	6779027.79	9687.26	-30.36	9687.31
3.75	36327.39	6778935.00	6779032.34	9687.25	-32.53	9687.31
4.00	38749.20	6778926.50	6779037.25	9687.24	-34.69	9687.30
4.25	41171.01	6778917.50	6779042.52	9687.23	-36.86	9687.30
4.50	43592.82	6778907.50	6779047.66	9687.22	-39.03	9687.30
4.75	46014.62	6778897.00	6779053.17	9687.20	-41.20	9687.29
5.00	48436.41	6778886.00	6779059.04	9687.19	-43.37	9687.29
5.25	50858.21	6778874.50	6779065.28	9687.17	-45.54	9687.28
5.50	53280.00	6778862.50	6779071.88	9687.16	-47.70	9687.27
5.75	55701.78	6778850.00	6779078.85	9687.14	-49.87	9687.27
6.00	58123.56	6778837.00	6779086.18	9687.12	-52.04	9687.26
6.25	60545.34	6778823.50	6779093.88	9687.10	-54.21	9687.26
6.50	62967.11	6778809.50	6779101.94	9687.08	-56.38	9687.25
6.75	65388.88	6778795.00	6779110.37	9687.06	-58.54	9687.24
7.00	67810.63	6778780.00	6779119.16	9687.04	-60.71	9687.23
7.25	70232.39	6778764.50	6779128.32	9687.02	-62.88	9687.23
7.50	72654.14	6778748.00	6779137.34	9687.00	-65.05	9687.22
7.75	75075.88	6778731.00	6779146.73	9686.98	-67.22	9687.21
8.00	77497.62	6778713.50	6779156.48	9686.95	-69.39	9687.20
8.25	79919.35	6778695.50	6779166.60	9686.93	-71.55	9687.19
8.50	82341.08	6778677.00	6779177.08	9686.90	-73.72	9687.18
8.75	84762.80	6778658.00	6779187.93	9686.88	-75.89	9687.17
9.00	87184.51	6778638.50	6779199.15	9686.85	-78.06	9687.16
9.25	89606.21	6778618.50	6779210.72	9686.82	-80.23	9687.15
9.50	92027.91	6778598.00	6779222.67	9686.79	-82.39	9687.14
9.75	94449.59	6778577.00	6779234.98	9686.76	-84.56	9687.13
10.00	96871.27	6778555.50	6779247.65	9686.73	-86.73	9687.12
10.25	99292.95	6778533.50	6779260.69	9686.70	-88.90	9687.11
10.50	101714.61	6778510.50	6779273.59	9686.67	-91.07	9687.10
10.75	104136.27	6778487.00	6779286.86	9686.64	-93.23	9687.08
11.00	106557.91	6778463.00	6779300.50	9686.60	-95.40	9687.07
11.25	108979.55	6778438.50	6779314.50	9686.57	-97.57	9687.06
11.50	111401.19	6778413.50	6779328.86	9686.53	-99.74	9687.05
11.75	113822.81	6778388.00	6779343.59	9686.50	-101.91	9687.03
12.00	116244.43	6778362.00	6779358.68	9686.46	-104.07	9687.02
12.25	118666.04	6778335.50	6779374.14	9686.42	-106.24	9687.01
12.50	121087.63	6778308.50	6779389.97	9686.39	-108.41	9686.99
12.75	123509.22	6778281.00	6779406.16	9686.35	-110.58	9686.98
13.00	125930.80	6778253.00	6779422.71	9686.31	-112.74	9686.96
13.25	128352.37	6778224.50	6779439.63	9686.27	-114.91	9686.95
