t	x	y	r	vx	vy	v
19.25	152261.38	390771008.00	390771037.66	7909.68	-0.05	7909.68
19.50	154238.80	390771008.00	390771038.44	7909.68	-0.05	7909.68
19.75	156216.22	390771008.00	390771039.22	7909.68	-0.05	7909.68
20.00	158193.64	390771008.00	390771040.02	7909.68	-0.05	7909.68
20.25	160171.06	390771008.00	390771040.83	7909.68	-0.05	7909.68
20.50	162148.48	390771008.00	390771041.64	7909.68	-0.05	7909.68
20.75	164125.91	390771008.00	390771042.47	7909.68	-0.05	7909.68
21.00	166103.33	390771008.00	390771043.30	7909.68	-0.05	7909.68
21.25	168080.75	390771008.00	390771044.15	7909.68	-0.06	7909.68
21.50	170058.17	390771008.00	390771045.00	7909.68	-0.06	7909.68
21.75	172035.59	390771008.00	390771045.87	7909.68	-0.06	7909.68
22.00	174013.02	390771008.00	390771046.74	7909.68	-0.06	7909.68
22.25	175990.44	390771008.00	390771047.63	7909.68	-0.06	7909.68
22.50	177967.86	390771008.00	390771048.53	7909.68	-0.06	7909.68
22.75	179945.28	390771008.00	390771049.43	7909.68	-0.06	7909.68
23.00	181922.70	390771008.00	390771050.35	7909.68	-0.06	7909.68
23.25	183900.12	390771008.00	390771051.27	7909.68	-0.06	7909.68
23.50	185877.55	390771008.00	390771052.21	7909.68	-0.06	7909.68
23.75	187854.97	390771008.00	390771053.15	7909.68	-0.06	7909.68
24.00	189832.39	390771008.00	390771054.11	7909.68	-0.06	7909.68
24.25	191809.81	390771008.00	390771055.07	7909.68	-0.06	7909.68
24.50	193787.23	390771008.00	390771056.05	7909.68	-0.06	7909.68
24.75	195764.66	390771008.00	390771057.04	7909.68	-0.06	7909.68
25.00	197742.08	390771008.00	390771058.03	7909.68	-0.07	7909.68
25.25	199719.50	390771008.00	390771059.04	7909.68	-0.07	7909.68
25.50	201696.92	390771008.00	390771060.05	7909.68	-0.07	7909.68
25.75	203674.34	390771008.00	390771061.08	7909.68	-0.07	7909.68
26.00	205651.77	390771008.00	390771062.11	7909.68	-0.07	7909.68
26.25	207629.19	390771008.00	390771063.16	7909.68	-0.07	7909.68
26.50	209606.61	390771008.00	390771064.22	7909.68	-0.07	7909.68
26.75	211584.03	390771008.00	390771065.28	7909.68	-0.07	7909.68
27.00	213561.45	390771008.00	390771066.36	7909.68	-0.07	7909.68
27.25	215538.88	390771008.00	390771067.44	7909.68	-0.07	7909.68
27.50	217516.30	390771008.00	390771068.54	7909.68	-0.07	7909.68
27.75	219493.72	390771008.00	390771069.64	7909.68	-0.07	7909.68
28.00	221471.14	390771008.00	390771070.76	7909.68	-0.07	7909.68
28.25	223448.56	390771008.00	390771071.89	7909.68	-0.07	7909.68
28.50	225425.98	390771008.00	390771073.02	7909.68	-0.07	7909.68
28.75	227403.41	390771008.00	390771074.17	7909.68	-0.08	7909.68
29.00	229380.83	390771008.00	390771075.32	7909.68	-0.08	7909.68
29.25	231358.25	390771008.00	390771076.49	7909.68	-0.08	7909.68
29.50	233335.67	390771008.00	390771077.66	7909.68	-0.08	7909.68
29.75	235313.09	390771008.00	390771078.85	7909.68	-0.08	7909.68
30.00	237290.52	390771008.00	390771080.05	7909.68	-0.08	7909.68
30.25	239267.94	390771008.00	390771081.25	7909.68	-0.08	7909.68
30.50	241245.36	390771008.00	390771082.47	7909.68	-0.08	7909.68
30.75	243222.78	390771008.00	390771083.69	7909.68	-0.08	7909.68
31.00	245200.20	390771008.00	390771084.93	7909.68	-0.08	7909.68
31.25	247177.62	390771008.00	390771086.17	7909.68	-0.08	7909.68
31.50	249155.05	390771008.00	390771087.43	7909.68	-0.08	7909.68
31.75	251132.47	390771008.00	390771088.70	7909.68	-0.08	7909.68
32.00	253109.89	390771008.00	390771089.97	7909.68	-0.08	7909.68
32.25	255087.31	390771008.00	390771091.26	7909.68	-0.08	7909.68
32.50	257064.73	390771008.00	390771092.55	7909.68	-0.08	7909.68
32.75	259042.16	390771008.00	390771093.86	7909.68	-0.09	7909.68
33.00	261019.58	390771008.00	390771095.18	7909.68	-0.09	7909.68
33.25	262997.00	390771008.00	390771096.50	7909.68	-0.09	7909.68
33.50	264974.41	390771008.00	390771097.84	7909.68	-0.09	7909.68
33.75	266951.81	390771008.00	390771099.18	7909.68	-0.09	7909.68
34.00	268929.22	390771008.00	390771100.54	7909.68	-0.09	7909.68
34.25	270906.62	390771008.00	390771101.90	7909.68	-0.09	7909.68
34.50	272884.03	390771008.00	390771103.28	7909.68	-0.09	7909.68
34.75	274861.44	390771008.00	390771104.67	7909.68	-0.09	7909.68
35.00	276838.84	390771008.00	390771106.06	7909.68	-0.09	7909.68
35.25	278816.25	390771008.00	390771107.47	7909.68	-0.09	7909.68
35.50	280793.66	390771008.00	390771108.88	7909.68	-0.09	7909.68
35.75	282771.06	390771008.00	390771110.31	7909.68	-0.09	7909.68
36.00	284748.47	390771008.00	390771111.75	7909.68	-0.09	7909.68
36.25	286725.88	390771008.00	390771113.19	7909.68	-0.09	7909.68
36.50	288703.28	390771008.00	390771114.65	7909.68	-0.10	7909.68
36.75	290680.69	390771008.00	390771116.11	7909.68	-0.10	7909.68
37.00	292658.09	390771008.00	390771117.59	7909.68	-0.10	7909.68
37.25	294635.50	390771008.00	390771119.08	7909.68	-0.10	7909.68
37.50	296612.91	390771008.00	390771120.57	7909.68	-0.10	7909.68
37.75	298590.31	390771008.00	390771122.08	7909.68	-0.10	7909.68
38.00	300567.72	390771008.00	390771123.59	7909.68	-0.10	7909.68
38.25	302545.12	390771008.00	390771125.12	7909.68	-0.10	7909.68
38.50	304522.53	390771008.00	390771126.66	7909.68	-0.10	7909.68
38.75	306499.94	390771008.00	390771128.20	7909.68	-0.10	7909.68
39.00	308477.34	390771008.00	390771129.76	7909.68	-0.10	7909.68
39.25	310454.75	390771008.00	390771131.32	7909.68	-0.10	7909.68
39.50	312432.16	390771008.00	390771132.90	7909.68	-0.10	7909.68
39.75	314409.56	390771008.00	390771134.49	7909.68	-0.10	7909.68
40.00	316386.97	390771008.00	390771136.08	7909.68	-0.10	7909.68
40.25	318364.38	390771008.00	390771137.69	7909.68	-0.11	7909.68
40.50	320341.78	390771008.00	390771139.30	7909.68	-0.11	7909.68
40.75	322319.19	390771008.00	390771140.93	7909.68	-0.11	7909.68
41.00	324296.59	390771008.00	390771142.57	7909.68	-0.11	7909.68
41.25	326274.00	390771008.00	390771144.21	7909.68	-0.11	7909.68
41.50	328251.41	390771008.00	390771145.87	7909.68	-0.11	7909.68
41.75	330228.81	390771008.00	390771147.53	7909.68	-0.11	7909.68
42.00	332206.22	390771008.00	390771149.21	7909.68	-0.11	7909.68
42.25	334183.62	390771008.00	390771150.90	7909.68	-0.11	7909.68
42.50	336161.03	390771008.00	390771152.59	7909.68	-0.11	7909.68
42.75	338138.44	390771008.00	390771154.30	7909.68	-0.11	7909.68
43.00	340115.84	390771008.00	390771156.01	7909.68	-0.11	7909.68
43.25	342093.25	390771008.00	390771157.74	7909.68	-0.11	7909.68
43.50	344070.66	390771008.00	390771159.48	7909.68	-0.11	7909.68
43.75	346048.06	390771008.00	390771161.22	7909.68	-0.11	7909.68
44.00	348025.47	390771008.00	390771162.98	7909.68	-0.11	7909.68
44.25	350002.88	390771008.00	390771164.74	7909.68	-0.12	7909.68
44.50	351980.28	390771008.00	390771166.52	7909.68	-0.12	7909.68
44.75	353957.69	390771008.00	390771168.31	7909.68	-0.12	7909.68
45.00	355935.09	390771008.00	390771170.10	7909.68	-0.12	7909.68
45.25	357912.50	390771008.00	390771171.91	7909.68	-0.12	7909.68
45.50	359889.91	390771008.00	390771173.72	7909.68	-0.12	7909.68
45.75	361867.31	390771008.00	390771175.55	7909.68	-0.12	7909.68
46.00	363844.72	390771008.00	390771177.39	7909.68	-0.12	7909.68
46.25	365822.12	390771008.00	390771179.23	7909.68	-0.12	7909.68
46.50	367799.53	390771008.00	390771181.09	7909.68	-0.12	7909.68
46.75	369776.94	390771008.00	390771182.96	7909.68	-0.12	7909.68
47.00	371754.34	390771008.00	390771184.83	7909.68	-0.12	7909.68
47.25	373731.75	390771008.00	390771186.72	7909.68	-0.12	7909.68
47.50	375709.16	390771008.00	390771188.61	7909.68	-0.12	7909.68
47.75	377686.56	390771008.00	390771190.52	7909.68	-0.12	7909.68
48.00	379663.97	390771008.00	390771192.44	7909.68	-0.13	7909.68
48.25	381641.38	390771008.00	390771194.36	7909.68	-0.13	7909.68
48.50	383618.78	390771008.00	390771196.30	7909.68	-0.13	7909.68
48.75	385596.19	390771008.00	390771198.24	7909.68	-0.13	7909.68
49.00	387573.59	390771008.00	390771200.20	7909.68	-0.13	7909.68
49.25	389551.00	390771008.00	390771202.17	7909.68	-0.13	7909.68
49.50	391528.41	390771008.00	390771204.14	7909.68	-0.13	7909.68
49.75	393505.81	390771008.00	390771206.13	7909.68	-0.13	7909.68
50.00	395483.22	390771008.00	390771208.13	7909.68	-0.13	7909.68
50.25	397460.62	390771008.00	390771210.13	7909.68	-0.13	7909.68
50.50	399438.03	390771008.00	390771212.15	7909.68	-0.13	7909.68
